party,seats,sq_cabinet,sq_pm,election_year,base,miw_new,banzhaf,shapley,splus,country,cabinet_id,party_id,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_count,cab_count,party_name,party_name_english,country_id,election_id,seats_share,election_date,start_date,post_election,enpp,mingov,bicameral,largest_parl,largest_cab,lag_largest_parl,lag_largest_cab,seats_total,miw_proportion,cabinet_proportion,seats_proportion,W,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,coalition_total
RPF,3,0,0,1994,3,3,0.028614458,0.027741702,0.026683176,NLD,637,212,Kok I,0,0,0,8.2962964,9.2,0,14,12,3,Reformatorisch Politieke Federatie,Reformatory Political Federation,8,570,2,5/3/94,8/22/94,1,5.4164662,0,1,0,0,0,0,150,0.030612245,0,0.02,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
PRL/FDF,18,0,0,1999,18,18,0.11702986,0.1176407,0.11948248,BEL,193,168,Verhofstadt I,0,1,0,6.5622222,,3,21,11,6,Parti R_formateur Lib_ral / Front D_mocratique des Francophones,Liberal Reformation Party / Francophone Democratic Front,64,2,12,6/13/99,7/12/99,1,9.050684,0,1,0,0,0,0,150,0.12,0.14285715,0.12,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,94
KD,6,0,0,2011,6,1,0.030769231,0.028571429,0.035570253,FIN,918,1463,Katainen,0,1,0,7.2257778,6.8,1,19,9,6,Suomen Kristillisdemokraatit _ Kristdemokraterna i Finland,Finnish Christian Union,67,700,3,4/17/11,6/22/11,1,5.830904,0,0,0,0,0,0,199,0.034482758,0.052631579,0.030150754,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,125
SK,3,0,0,1995,3,1,0.041666668,0.033333331,0.035556443,ISL,158,147,Oddsson II,0,0,0,2.2222222,,0,11,6,2,Samt_k um kvennalista,Womens Alliance,56,82,4.7619047,4/8/95,4/13/95,1,3.9492538,0,0,0,0,0,0,63,0.07692308,0,0.047619049,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
KF,16,0,0,2001,16,4,0.11016949,0.10238095,0.09256658,DNK,482,590,Rasmussen F I,0,1,0,7.1683492,7.3,6,18,9,2,Konservative,Conservatives,21,632,8.9385471,11/20/01,11/27/01,1,4.6754708,1,0,0,0,0,0,175,0.12121212,0.33333334,0.09142857,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72
CCD/CDU,30,0,0,1996,30,11,0.044611529,0.044083696,0.045407575,ITA,276,627,Prodi I,0,0,0,5.9066667,,0,25,11,4,Centro Cristiano Democratico  / Cristiani Democratici Uniti,Christian Democratic Center / United Christian Democrats,26,551,4.7619047,4/21/96,5/18/96,1,6.0889177,1,1,0,0,0,0,630,0.045081966,0,0.047619049,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
PSA,2,0,0,1987,2,2,0.003309888,0.002267177,0.002386755,ITA,756,335,Goria,0,0,0,4.1999998,,0,31,14,5,Partito Sardo d'Azione,Sardinian Action Party,26,17,0.31746033,6/14/87,7/28/87,1,4.0743632,0,1,0,0,0,0,629,0.004819277,0,0.00317965,315,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
FG,76,0,0,2011,76,3,0.63636363,0.60000002,0.60649413,IRL,904,1393,Kenny I,0,1,1,6.4893333,6.8,10,15,7,2,Fine Gael,Fine Gael (Familiy of the Irish),37,698,45.783131,2/25/11,3/9/11,1,3.4557312,0,1,1,1,0,0,166,0.42857143,0.66666669,0.45783132,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113
CD&V/N-VA,30,1,1,2007,30,30,0.21773142,0.21915585,0.21912713,BEL,886,972,Verhofstadt III,1,0,0,,,0,25,11,4, Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie,Christian-Democrat and Flemish/New Flemish Alliance,64,401,20,6/10/07,6/10/07,1,7.9113922,1,1,1,0,0,0,150,0.2,0,0.2,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
ENH,6,0,0,1994,6,3,0.031818181,0.025,0.026854577,DNK,189,306,Rasmussen N II,0,0,0,1,,0,20,10,3,Enhedslisten / De Rd-Grnne,Red-Green Alliance,21,89,3.3519554,9/21/94,9/27/94,1,4.7334909,1,0,0,0,0,0,174,0.040540539,0,0.034482758,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
FR,25,0,0,1997,25,5,0.11458334,0.12619047,0.12473264,NOR,45,351,Bondevik I,0,0,0,9.2444444,9.4,0,19,8,3,Fremskrittspartiet,Progress Party,9,669,15.151515,9/16/97,10/17/97,1,4.3608842,1,0,0,0,0,0,165,0.14285715,0,0.15151516,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
PVDA,30,0,0,2010,30,30,0.21117423,0.21468253,0.21075444,NLD,804,742,Rutte,0,0,0,3.5371111,2.6,0,12,10,2,Partij van de Arbeid,Labour,8,530,20,6/9/10,10/14/10,1,6.7446041,1,1,0,0,0,0,150,0.2,0,0.2,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
SP-P,5,0,0,2007,5,1,0.019230768,0.023809524,0.019843612,FIN,277,200,Vanhanen II,0,0,0,6.3916667,5.8,0,20,9,4,Suomen Puolue _ Perussuomalaiset,Finnish Party -- True Finns,67,314,2.5,3/18/07,4/19/07,1,5.1308365,0,0,0,0,0,0,199,0.052631579,0,0.025125628,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
PVDA,33,0,0,2006,33,29,0.20971075,0.22261904,0.22517884,NLD,69,742,Balkenende IV,0,1,0,3.5371111,2.6,6,16,10,3,Partij van de Arbeid,Labour,8,578,22,11/22/06,2/22/07,1,5.5391431,0,1,0,0,0,0,150,0.21641791,0.375,0.22,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,80
UV,1,0,0,2001,1,1,0.000538793,0.00036075,0.001217162,ITA,256,974,Berlusconi II,0,0,0,,,0,21,12,4,Union Vald_taine,Valdotanian Union,26,498,0.16420361,5/13/01,6/11/01,1,5.3029213,0,1,0,0,0,0,609,0.003021148,0,0.001642036,305,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
M,80,0,0,1991,80,2,0.11538462,0.14285715,0.14062093,SWE,779,657,Bildt,0,1,1,7.7642222,7.7,9,21,7,5,Moderaterna,Moderate Party,35,472,22.922636,9/15/91,10/3/91,1,4.1926613,1,0,0,1,0,0,349,0.18181819,0.44999999,0.22922637,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308
DCA/NPSI,4,0,0,2006,4,4,0.006821466,0.005372405,0.005515935,ITA,117,1550,Prodi II,0,0,0,,,0,26,17,7,Democrazia Cristiana / Nuovo PSI,Chrisitan Democracy / New PSI,26,107,0.63492066,4/9/06,5/17/06,1,5.0764861,0,1,0,0,0,0,627,0.00744879,0,0.006379585,314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
KF,16,0,0,1998,16,8,0.10132159,0.096031748,0.098823175,DNK,630,590,Rasmussen N IV,0,0,0,7.1683492,7.3,0,20,11,2,Konservative,Conservatives,21,389,8.9385471,3/11/98,3/11/98,1,4.9195457,1,0,0,0,0,0,175,0.10958904,0,0.09142857,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
V,21,0,0,1988,21,1,0.050000001,0.06666667,0.061455522,SWE,220,882,Carlsson II,0,0,0,1.5791111,1.2,0,15,6,0,Vçnsterpartiet (kommunisterna),Left Party (Communists),35,428,6.0171919,9/18/88,9/18/88,1,3.665062,1,0,0,0,0,0,349,0.11111111,0,0.060171921,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
FN,1,0,0,2003,1,1,0.008849558,0.008333333,0.009719544,BEL,449,171,Verhofstadt II,0,0,0,9.8888893,,0,24,10,4,Front National,National Front,64,143,0.66666669,5/18/03,7/12/03,1,7.0268583,0,1,0,0,0,0,150,0.011111111,0,0.006666667,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
SP,13,1,0,2010,13,13,0.084068939,0.08340548,0.083240464,BEL,675,1029,Leterme III,1,0,0,3.3017778,2.9,0,15,12,0,Socialistische Partij,Socialist Party,64,486,8.666667,6/13/10,6/13/10,1,8.4206591,1,1,0,0,0,0,150,0.086666666,0,0.086666666,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
FRP,4,0,0,1998,4,2,0.022026433,0.019841271,0.021362269,DNK,630,978,Rasmussen N IV,0,0,0,9.0063492,8.7,0,20,11,2,Fremskridtspartiet,Progress Party,21,389,2.2346368,3/11/98,3/11/98,1,4.9195457,1,0,0,0,0,0,175,0.02739726,0,0.022857143,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
KRF,11,1,1,2005,11,1,0.054545455,0.052380953,0.053660825,NOR,693,1538,Stoltenberg II,0,0,0,6.1333333,6.1,0,19,7,3,Kristelig Folkeparti,Christian Democratic Party,9,3,6.5088758,9/12/05,10/17/05,1,4.5617313,0,0,0,0,0,0,169,0.06666667,0,0.065088756,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SF,14,0,0,2011,14,1,0.090909094,0.1,0.096451782,IRL,904,433,Kenny I,0,0,0,2.031579,,0,15,7,2,Sinn F_in,Sinn Fein,37,698,8.4337349,2/25/11,3/9/11,1,3.4557312,0,1,0,0,0,0,166,0.14285715,0,0.084337346,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
LAB,21,0,0,2002,21,1,0.027027028,0.047619049,0.039371062,IRL,179,318,Ahern II,0,0,0,3.6788889,3.6,0,16,8,2,P_irti Lucht Oibre,Labour Party,37,408,12.650602,5/15/02,6/6/02,1,3.3368855,0,1,0,0,0,0,166,0.090909094,0,0.12650603,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
VIHR,4,0,0,1987,4,1,0.014218009,0.015873017,0.013332199,FIN,614,1062,Holkeri I,0,0,0,3.7008333,,0,15,10,4,Vihre_ Liitto _ Gr_na F_rbundet,Green League,67,527,2,3/16/87,4/30/87,1,4.9480457,0,0,0,0,0,0,199,0.030303031,0,0.020100502,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SVP,3,0,0,1992,3,3,0.005043942,0.006614219,0.004041057,ITA,176,1030,Amato I,0,0,0,5.4000001,,0,30,16,4,S_dtiroler Volkspartei,South Tyrol Peoples Party,26,605,0.47619048,4/5/92,6/28/92,1,5.7116132,0,1,0,0,0,0,629,0.004769475,0,0.004769475,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
PRC,11,0,0,2001,11,7,0.014547414,0.012337662,0.012768251,ITA,256,1321,Berlusconi II,0,0,0,0.95500001,,0,21,12,4,Partito della Rifondazione Comunista,Communist Refoundation Party,26,498,1.8062397,5/13/01,6/11/01,1,5.3029213,0,1,0,0,0,0,609,0.021148037,0,0.018062398,305,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
SSDP,63,0,0,1995,63,26,0.37096775,0.3968254,0.39421213,FIN,100,395,Lipponen I,0,1,1,3.4931111,3,6,16,11,5,Suomen Sosialidemokraattinen Puolue _ Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,67,24,31.5,3/19/95,4/13/95,1,4.8971596,0,0,1,1,0,0,199,0.30588236,0.40000001,0.31658292,100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144
RV,7,1,0,1998,7,3,0.035242289,0.031746034,0.039003324,DNK,630,211,Rasmussen N IV,0,1,0,4.9697778,4.8,4,20,11,2,Det Radikale Venstre,Danish Social-Liberal Party,21,389,3.9106145,3/11/98,3/11/98,1,4.9195457,1,0,0,0,0,0,175,0.04109589,0.2,0.039999999,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70
CD&V,21,0,0,2003,21,11,0.1238938,0.12420635,0.12524307,BEL,449,1310,Verhofstadt II,0,0,0,5.7719444,5.8,0,24,10,4,Christen-Democratisch en Vlaams,Christian Democrats & Flemish,64,143,14,5/18/03,7/12/03,1,7.0268583,0,1,0,0,0,0,150,0.12222222,0,0.14,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
ECOLO,4,1,0,2003,4,4,0.038938053,0.038492061,0.034309663,BEL,449,161,Verhofstadt II,0,0,0,2.9113333,4.5,0,24,10,4,ócologistes Conf_d_r_s pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,64,143,2.6666667,5/18/03,7/12/03,1,7.0268583,0,1,0,0,0,0,150,0.044444446,0,0.026666667,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
DC,206,1,1,1992,206,206,0.42664912,0.41631284,0.41999736,ITA,176,1633,Amato I,0,1,0,5.6611111,5.4,12,30,16,4,Democrazia Cristiana,Christian Democrats,26,605,32.698414,4/5/92,6/28/92,1,5.7116132,0,1,1,1,1,1,629,0.32750398,0.46153846,0.32750398,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,331
SP,11,1,0,2009,11,1,0.07692308,0.06666667,0.058469865,NOR,551,702,Stoltenberg III,0,1,0,5.3055556,5.8,5,21,7,3,Senterpartiet,Centre Party,9,285,6.5088758,9/24/09,10/20/09,1,4.0667806,0,0,0,0,0,0,169,0.090909094,0.23809524,0.065088756,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86
SVP,3,0,0,2001,3,2,0.002693966,0.001948052,0.003534564,ITA,256,1030,Berlusconi II,0,0,0,5.4000001,,0,21,12,4,S_dtiroler Volkspartei,South Tyrol Peoples Party,26,498,0.49261084,5/13/01,6/11/01,1,5.3029213,0,1,0,0,0,0,609,0.006042296,0,0.004926108,305,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
THFF,4,1,0,1995,4,1,0.041666668,0.033333331,0.041207545,ISL,158,205,Oddsson II,0,0,0,,,0,11,6,2,_j__vaki _ Fylking f_lksins,People's Movement,56,82,6.3492064,4/8/95,4/13/95,1,3.9492538,0,0,0,0,0,0,63,0.07692308,0,0.063492067,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
FDV,15,1,0,2006,15,15,0.024563996,0.021472972,0.021307383,ITA,117,910,Prodi II,0,1,0,2.6337037,,1,26,17,7,Federazione dei Verdi,Federation of the Greens,26,107,2.3809524,4/9/06,5/17/06,1,5.0764861,0,1,0,0,0,0,627,0.027932961,0.045454547,0.023923445,314,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,337
PP,1,0,0,2010,1,1,0.008406894,0.008008658,0.006122036,BEL,675,438,Leterme III,1,0,0,,,0,15,12,0,Parti populaire,People's Party,64,486,0.66666669,6/13/10,6/13/10,1,8.4206591,1,1,0,0,0,0,150,0.006666667,0,0.006666667,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
PRC,39,0,0,1994,39,39,0.07810133,0.066830978,0.066594571,ITA,672,1321,Berlusconi I,0,0,0,0.95500001,,0,27,21,5,Partito della Rifondazione Comunista,Communist Refoundation Party,26,146,6.1904764,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.062300321,0,0.061904762,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
SF,11,0,0,2005,11,1,0.034482758,0.028571429,0.041654881,DNK,316,1644,Rasmussen F II,0,0,0,2.1851429,1.9,0,19,8,2,Socialistisk Folkeparti,Socialist Peoples Party,21,563,6.1452513,2/8/05,2/18/05,1,5.1061354,1,0,0,0,0,0,175,0.052631579,0,0.062857144,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
PRL/FDF,18,0,0,1995,18,18,0.12003455,0.11868687,0.11823518,BEL,95,168,Dehaene II,0,0,0,6.5622222,,0,20,11,4,Parti R_formateur Lib_ral / Front D_mocratique des Francophones,Liberal Reformation Party / Francophone Democratic Front,64,332,12,5/21/95,6/23/95,1,8.0299788,0,1,0,0,0,0,150,0.12,0,0.12,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
SPD,146,1,0,2009,146,1,0.16666667,0.16666667,0.16694997,DEU,472,558,Merkel II,0,0,0,3.5988889,3.3,0,17,6,3,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,54,93,23.47267,9/27/09,10/28/09,0,4.8344789,0,1,0,0,1,1,622,0.2,0,0.23472668,312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
SF,13,0,0,1994,13,7,0.077272728,0.060714286,0.062890023,DNK,189,1644,Rasmussen N II,0,0,0,2.1851429,1.9,0,20,10,3,Socialistisk Folkeparti,Socialist Peoples Party,21,89,7.2625699,9/21/94,9/27/94,1,4.7334909,1,0,0,0,0,0,174,0.094594598,0,0.074712642,88,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
ECOLO,3,0,0,1987,3,3,0.012773723,0.011507937,0.012715666,BEL,457,161,Martens VIII,0,0,0,2.9113333,4.5,0,26,11,5,ócologistes Conf_d_r_s pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,64,191,1.4150944,12/13/87,5/9/88,1,7.1317043,0,1,0,0,0,0,212,0.014150944,0,0.014150944,107,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
SGP,2,0,0,2002,2,2,0.01059322,0.01031746,0.012018758,NLD,763,1251,Balkenende I,0,0,0,8.4472222,9.2,0,14,10,3,Staatkundig Gereformeerde Partij,Political Reformed Party,8,74,1.3333334,5/15/02,7/21/02,0,5.7929969,0,1,0,0,0,0,150,0.015151516,0,0.013333334,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
KOK,39,1,0,1995,39,17,0.218894,0.22619048,0.21703389,FIN,100,1118,Lipponen I,0,1,0,7.1597778,7.2,5,16,11,5,Kansallinen Kokoomus _ Samlingspartiet,National Coalition Party,67,24,19.5,3/19/95,4/13/95,1,4.8971596,0,0,0,0,0,0,199,0.2,0.33333334,0.19597989,100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144
ENH,5,0,0,1998,5,3,0.035242289,0.031746034,0.026844539,DNK,630,306,Rasmussen N IV,0,0,0,1,,0,20,11,2,Enhedslisten / De Rd-Grnne,Red-Green Alliance,21,389,2.7932961,3/11/98,3/11/98,1,4.9195457,1,0,0,0,0,0,175,0.04109589,0,0.028571429,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
GL,11,0,0,1998,11,9,0.052631579,0.049603175,0.048773497,NLD,749,756,Kok II,0,0,0,2.0366666,,0,15,9,3,Groen Links,Green Left,8,372,7.3333335,5/6/98,8/3/98,1,4.8138638,0,1,0,0,0,0,150,0.083333336,0,0.07333333,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
LPF,8,1,0,2003,8,4,0.028169014,0.031349204,0.030172499,NLD,124,456,Balkenende II,0,0,0,8.375,,0,16,9,3,Lijst Pim Fortuyn,Fortuyn List,8,335,5.3333335,1/22/03,5/27/03,1,4.7448335,0,1,0,0,0,0,150,0.05882353,0,0.053333335,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
AGL-GR,9,0,0,1999,9,9,0.058918484,0.057720058,0.056585077,BEL,193,1594,Verhofstadt I,0,1,0,2.8282222,4.5,3,21,11,6,Agalev _ Groen,Agalev -- Groen,64,2,6,6/13/99,7/12/99,1,9.050684,0,1,0,0,0,0,150,0.059999999,0.14285715,0.059999999,76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,94
MP,25,0,0,2010,25,6,0.12096774,0.10714286,0.092616811,SWE,854,1154,Reinfeldt II,0,0,0,3.3733334,,0,12,8,4,Miljæpartiet de Græna,Greens,35,512,7.1633239,9/19/10,10/5/10,1,4.5371952,1,0,0,0,0,0,349,0.11764706,0,0.071633235,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LAB,12,0,0,1987,12,1,0.027027028,0.047619049,0.050667077,IRL,77,318,Haughey III,0,0,0,3.6788889,3.6,0,16,7,1,P_irti Lucht Oibre,Labour Party,37,43,7.2289157,2/17/87,3/10/87,1,2.8921075,1,1,0,0,0,0,165,0.090909094,0,0.07272727,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SSDP,48,1,1,1991,48,11,0.25560537,0.26587301,0.27043316,FIN,831,395,Aho I,0,0,0,3.4931111,3,0,17,10,4,Suomen Sosialidemokraattinen Puolue _ Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,67,602,24,3/17/91,4/26/91,1,5.2452135,0,0,0,0,1,1,199,0.23404256,0,0.24120604,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
LAB,20,0,0,2007,20,2,0.069767445,0.085714288,0.09619157,IRL,864,318,Ahern III,0,0,0,3.6788889,3.6,0,15,7,3,P_irti Lucht Oibre,Labour Party,37,190,12.048193,5/24/07,6/14/07,1,3.0063276,0,1,0,0,0,0,169,0.11764706,0,0.1183432,85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
VIHR,10,1,0,2011,10,2,0.061538462,0.057142857,0.059953291,FIN,918,1062,Katainen,0,1,0,3.7008333,,2,19,9,6,Vihre_ Liitto _ Gr_na F_rbundet,Green League,67,700,5,4/17/11,6/22/11,1,5.830904,0,0,0,0,0,0,199,0.068965517,0.10526316,0.050251257,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,125
CDU/CSU,223,1,1,1987,223,2,0.5,0.5,0.49994999,DEU,286,808,Kohl III,0,1,1,6.1757778,6.7,18,24,5,3,Christlich Demokratische Union,Christian Democratic Union,54,588,35.010059,1/25/87,3/11/87,1,3.4715192,0,1,0,1,0,1,497,0.40000001,0.78260869,0.44869214,249,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,269
V,2,0,0,2009,2,0,0,0,0.010674647,NOR,551,647,Stoltenberg III,0,0,0,4.7,4,0,21,7,3,Venstre,Liberal Party of Norway,9,285,1.183432,9/24/09,10/20/09,1,4.0667806,0,0,0,0,0,0,169,0,0,0.01183432,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
DSP,1,0,0,1989,1,0,0,0,0.009266811,IRL,215,379,Haughey IV,0,0,0,,,0,17,8,2,Democratic Socialist Party,Democratic Socialist Party,37,590,0.60240966,6/15/89,7/12/89,1,2.9687567,1,1,0,0,0,0,164,0,0,0.006097561,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RS,1, ,,1994,1,1,0.001754088,0.00142496,0.001486769,ITA,672,173,Berlusconi I,0,0,0,,,0,27,21,5,Rinnovamento Socialista,Socialist Renewal,26,146,0.15873016,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.001597444,0,0.001587302,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
FDP,93,0,0,2009,93,1,0.16666667,0.16666667,0.16694164,DEU,472,543,Merkel II,0,1,0,5.8064444,5.1,6,17,6,3,Freie Demokratische Partei,Free Democratic Party,54,93,14.951769,9/27/09,10/28/09,0,4.8344789,0,1,0,0,0,0,622,0.2,0.35294119,0.14951769,312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,332
PSI,92,1,0,1992,92,92,0.1301337,0.13822427,0.1376285,ITA,176,1475,Amato I,0,1,1,3.7722222,3.1,10,30,16,4,Partito Socialista Italiano,Italian Socialist Party,26,605,14.603174,4/5/92,6/28/92,1,5.7116132,0,1,0,0,0,0,629,0.14626391,0.38461539,0.14626391,315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,331
CU,4,0,0,2002,4,3,0.016949153,0.01626984,0.022637658,NLD,763,1206,Balkenende I,0,0,0,6.315,,0,14,10,3,ChristenUnie _ Staatkundig Gereformeerde Partij,ChristianUnion -- Reformed Political Party,8,74,2.6666667,5/15/02,7/21/02,0,5.7929969,0,1,0,0,0,0,150,0.022727273,0,0.026666667,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
CD,3,0,0,1994,3,3,0.028614458,0.027741702,0.026719734,NLD,637,209,Kok I,0,0,0,9.4097222,,0,14,12,3,Centrum Democraten,Centre Democrats,8,570,2,5/3/94,8/22/94,1,5.4164662,0,1,0,0,0,0,150,0.030612245,0,0.02,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
C,31,0,0,1991,31,1,0.07692308,0.076190479,0.078792118,SWE,779,1461,Bildt,0,1,0,5.7886666,5.9,3,21,7,5,Centerpartiet,Centre Party,35,472,8.8825216,9/15/91,10/3/91,1,4.1926613,1,0,0,0,0,0,349,0.090909094,0.15000001,0.088825218,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,308
DNA,65,1,1,1997,65,13,0.55208331,0.5404762,0.54334867,NOR,45,104,Bondevik I,0,0,0,3.2388889,3,0,19,8,3,Det norske Arbeiderparti,Norwegian Labour Party,9,669,39.39394,9/16/97,10/17/97,1,4.3608842,1,0,1,0,1,1,165,0.37142858,0,0.39393941,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
PLD,2, ,,1994,2,2,0.003524,0.002870233,0.002923926,ITA,672,671,Berlusconi I,0,0,0,,,0,27,21,5,Polo Liberal-Democratico,Liberal Democratic Pole,26,146,0.31746033,3/27/94,5/11/94,1,7.6707511,0,1,0,0,0,0,630,0.003194888,0,0.003174603,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
AN,93,0,0,1996,93,36,0.14786968,0.14527418,0.14288972,ITA,276,373,Prodi I,0,0,0,7.9855557,,0,25,11,4,Alleanza Nazionale,National Alliance,26,551,14.761905,4/21/96,5/18/96,1,6.0889177,1,1,0,0,0,0,630,0.14754099,0,0.14761905,316,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
ENH,6,0,0,2005,6,1,0.034482758,0.028571429,0.027164664,DNK,316,306,Rasmussen F II,0,0,0,1,,0,19,8,2,Enhedslisten / De Rd-Grnne,Red-Green Alliance,21,563,3.3519554,2/8/05,2/18/05,1,5.1061354,1,0,0,0,0,0,175,0.052631579,0,0.034285713,88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
LAB,17,1,0,1997,17,3,0.04878049,0.071428575,0.074371211,IRL,126,318,Ahern I,0,0,0,3.6788889,3.6,0,16,9,2,P_irti Lucht Oibre,Labour Party,37,316,10.240964,6/6/97,6/26/97,1,2.9926152,1,1,0,0,0,0,165,0.10344828,0,0.1030303,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
